A00; Cólera
R83.0 ; Achados Anormais no Líquido Cefalorraquidiano 
R83.1 ; Achados Anormais no Líquido Cefalorraquidiano 
R83.2 ; Achados Anormais no Líquido Cefalorraquidiano 
R83.3 ; Achados Anormais no Líquido Cefalorraquidiano 
R83.4 ; Achados Anormais no Líquido Cefalorraquidiano 
R83.5 ; Achados Anormais no Líquido Cefalorraquidiano 
R83.6 ; Achados Anormais no Líquido Cefalorraquidiano 
R83.7 ; Achados Anormais no Líquido Cefalorraquidiano 
R83.8 ; Achados Anormais no Líquido Cefalorraquidiano 
R83.9 ; Achados Anormais no Líquido Cefalorraquidiano 
R84 ; Achados Anormais de Material Proveniente Dos Órgãos Respiratórios e do Tórax
R84.0 ; Achados Anormais de Material Proveniente Dos Órgãos Respiratórios e do Tórax 
R84.1 ; Achados Anormais de Material Proveniente Dos Órgãos Respiratórios e do Tórax 
R84.2 ; Achados Anormais de Material Proveniente Dos Órgãos Respiratórios e do Tórax 
R84.3 ; Achados Anormais de Material Proveniente Dos Órgãos Respiratórios e do Tórax 
R84.4 ; Achados Anormais de Material Proveniente Dos Órgãos Respiratórios e do Tórax 
R84.5 ; Achados Anormais de Material Proveniente Dos Órgãos Respiratórios e do Tórax 
R84.6 ; Achados Anormais de Material Proveniente Dos Órgãos Respiratórios e do Tórax 
R84.7 ; Achados Anormais de Material Proveniente Dos Órgãos Respiratórios e do Tórax 
R84.8 ; Achados Anormais de Material Proveniente Dos Órgãos Respiratórios e do Tórax 
R84.9 ; Achados Anormais de Material Proveniente Dos Órgãos Respiratórios e do Tórax 
R85 ; Achados Anormais de Material Proveniente Dos Órgãos Digestivos e da Cavidade Abdominal
R85.0 ; Achados Anormais de Material Proveniente Dos Órgãos Digestivos e da Cavidade Abdominal 
R85.1 ; Achados Anormais de Material Proveniente Dos Órgãos Digestivos e da Cavidade Abdominal 
R85.2 ; Achados Anormais de Material Proveniente Dos Órgãos Digestivos e da Cavidade Abdominal 
R85.3 ; Achados Anormais de Material Proveniente Dos Órgãos Digestivos e da Cavidade Abdominal 
R85.4 ; Achados Anormais de Material Proveniente Dos Órgãos Digestivos e da Cavidade Abdominal 
R85.5 ; Achados Anormais de Material Proveniente Dos Órgãos Digestivos e da Cavidade Abdominal 
R85.6 ; Achados Anormais de Material Proveniente Dos Órgãos Digestivos e da Cavidade Abdominal 
R85.7 ; Achados Anormais de Material Proveniente Dos Órgãos Digestivos e da Cavidade Abdominal 
R85.8 ; Achados Anormais de Material Proveniente Dos Órgãos Digestivos e da Cavidade Abdominal 
R85.9 ; Achados Anormais de Material Proveniente Dos Órgãos Digestivos e da Cavidade Abdominal 
R86 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Masculinos
R86.0 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Masculinos 
R86.1 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Masculinos 
R86.2 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Masculinos 
R86.3 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Masculinos 
R86.4 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Masculinos 
R86.5 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Masculinos 
R86.6 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Masculinos 
R86.7 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Masculinos 
R86.8 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Masculinos 
R86.9 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Masculinos 
R87 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Femininos
R87.0 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Femininos 
R87.1 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Femininos 
R87.2 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Femininos 
R87.3 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Femininos 
R87.4 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Femininos 
R87.5 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Femininos 
R87.6 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Femininos 
R87.7 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Femininos 
R87.8 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Femininos 
R87.9 ; Achados Anormais de Material Proveniente Dos Órgãos Genitais Femininos 
R89 ; Achados Anormais de Material Proveniente de Outros Órgãos, Aparelhos, Sistemas e Tecidos
R89.0 ; Achados Anormais de Material Proveniente de Outros Órgãos, Aparelhos, Sistemas e Tecidos 
R89.1 ; Achados Anormais de Material Proveniente de Outros Órgãos, Aparelhos, Sistemas e Tecidos 
R89.2 ; Achados Anormais de Material Proveniente de Outros Órgãos, Aparelhos, Sistemas e Tecidos 
R89.3 ; Achados Anormais de Material Proveniente de Outros Órgãos, Aparelhos, Sistemas e Tecidos 
R89.4 ; Achados Anormais de Material Proveniente de Outros Órgãos, Aparelhos, Sistemas e Tecidos 
R89.5 ; Achados Anormais de Material Proveniente de Outros Órgãos, Aparelhos, Sistemas e Tecidos 
R89.6 ; Achados Anormais de Material Proveniente de Outros Órgãos, Aparelhos, Sistemas e Tecidos 
R89.7 ; Achados Anormais de Material Proveniente de Outros Órgãos, Aparelhos, Sistemas e Tecidos 
R89.8 ; Achados Anormais de Material Proveniente de Outros Órgãos, Aparelhos, Sistemas e Tecidos 
R89.9 ; Achados Anormais de Material Proveniente de Outros Órgãos, Aparelhos, Sistemas e Tecidos 
R90 ; Resultados Anormais de Exames Para Diagnóstico Por Imagem do Sistema Nervoso Central
R90.0 ; Lesão Intracraniana Ocupando Espaço
R90.8 ; Outros Resultados Anormais de Exames Para Diagnóstico Por Imagem do Sistema Nervoso Central
R91 ; Achados Anormais, de Exames Para Diagnóstico Por Imagem, do Pulmão
R92 ; Achados Anormais, de Exames Para Diagnóstico Por Imagem, da Mama
R93 ; Achados Anormais de Exames Para Diagnóstico Por Imagem de Outras Estruturas do Corpo
R93.0 ; Achados Anormais de Exames Para Diagnóstico Por Imagem do Crânio e da Cabeça Não Classificados em Outra Parte
R93.1 ; Achados Anormais de Exames Para Diagnóstico Por Imagem do Coração e da Circulação Coronariana
R93.2 ; Achados Anormais de Exames Para Diagnóstico Por Imagem do Fígado e Das Vias Biliares
R93.3 ; Achados Anormais de Exames Para Diagnóstico Por Imagem de Outras Partes do Tubo Digestivo
R93.4 ; Achados Anormais de Exames Para Diagnóstico Por Imagem Dos Órgãos Urinários
R93.5 ; Achados Anormais de Exames Para Diagnóstico Por Imagem de Outras Regiões do Abdome, Incluindo o Retroperitônio
R93.6 ; Achados Anormais de Exames Para Diagnóstico Por Imagem Dos Membros
R93.7 ; Achados Anormais de Exames Para Diagnóstico Por Imagem de Outras Partes do Sistema Osteomuscular
R93.8 ; Achados Anormais de Exames Diagnósticos Por Imagem de Outras Estruturas Somáticas Especificadas
R94 ; Resultados Anormais de Estudos de Função
R94.0 ; Resultados Anormais de Estudos de Função do Sistema Nervoso Central
R94.1 ; Resultados Anormais de Estudos de Função do Sistema Nervoso Periférico e Dos Órgãos Dos Sentidos
R94.2 ; Resultados Anormais de Estudos da Função Pulmonar
R94.3 ; Resultados Anormais de Estudos da Função Cardiovascular
R94.4 ; Resultados Anormais de Estudos de Função Renal
R94.5 ; Resultados Anormais de Estudos de Função Hepática
R94.6 ; Resultados Anormais de Estudos de Função Tireoidiana
R94.7 ; Resultados Anormais de Estudos de Função de Outras Glândulas Endócrinas
R94.8 ; Resultados Anormais de Estudos de Função de Outros Órgãos, Aparelhos e Sistemas
R95 ; Síndrome da Morte Súbita na Infância
R96 ; Outras Mortes Súbitas de Causa Desconhecida
R96.0 ; Morte Instantânea
R96.1 ; Morte Que Ocorre em Menos de 24 Horas Após o Início Dos Sintomas, Que Não Pode Ser Explicada
R98 ; Morte Sem Assistência
R99 ; Outras Causas Mal Definidas e as Não Especificadas de Mortalidade
S00 ; Traumatismo Superficial da Cabeça
S00.0 ; Traumatismo Superficial do Couro Cabeludo
S00.1 ; Contusão da Pálpebra e da Região Periocular
S00.2 ; Outros Traumatismos Superficiais da Pálpebra e da Região Periocular
S00.3 ; Traumatismo Superficial do Nariz
S00.4 ; Traumatismo Superficial do Ouvido
S00.5 ; Traumatismo Superficial Dos Lábios e da Cavidade Oral
S00.7 ; Traumatismos Superficiais Múltiplos da Cabeça
S00.8 ; Traumatismo Superficial de Outras Partes da Cabeça
S00.9 ; Traumatismo Superficial da Cabeça, Parte Não Especificada
S01 ; Ferimento da Cabeça
S01.0 ; Ferimento do Couro Cabeludo
S01.1 ; Ferimento da Pálpebra e da Região Periocular
S01.2 ; Ferimento do Nariz
S01.3 ; Ferimento do Ouvido
S01.4 ; Ferimento da Bochecha e Região Têmporo
S01.5 ; Ferimento do Lábio e da Cavidade Oral
S01.7 ; Ferimentos Múltiplos da Cabeça
S01.8 ; Ferimento na Cabeça, de Outras Localizações
S01.9 ; Ferimento na Cabeça, Parte Não Especificada
S02 ; Fratura do Crânio e Dos Ossos da Face
S02.0 ; Fratura da Abóbada do Crânio
S02.1 ; Fratura da Base do Crânio
S02.2 ; Fratura Dos Ossos Nasais
S02.3 ; Fratura do Assoalho Orbital
S02.4 ; Fratura Dos Ossos Malares e Maxilares
S02.5 ; Fratura de Dentes
S02.6 ; Fratura de Mandíbula
S02.7 ; Fraturas Múltiplas Envolvendo os Ossos do Crânio e da Face
S02.8 ; Outras Fraturas do Crânio e Dos Ossos da Face
S02.9 ; Fratura do Crânio ou Dos Ossos da Face, Parte Não Especificada
S03 ; Luxação, Entorse ou Distensão Das Articulações e Dos Ligamentos da Cabeça
S03.0 ; Luxação do Maxilar
S03.1 ; Luxação da Cartilagem do Septo Nasal
S03.2 ; Luxação Dentária
S03.3 ; Luxação de Outras Partes da Cabeça e Das Não Especificadas
S03.4 ; Entorse e Distensão do Maxilar
S03.5 ; Entorse e Distensão da Articulações e Dos Ligamentos de Outras Localizações e de Localizações Não Especificadas da Cabeça
S04 ; Traumatismo Dos Nervos Cranianos
S04.0 ; Traumatismo do Nervo e Das Vias Ópticas
S04.1 ; Traumatismo do Nervo Oculomotor
S04.2 ; Traumatismo do Nervo Troclear
S04.3 ; Traumatismo do Nervo Trigêmeo
S04.4 ; Traumatismo do Nervo Abducente
S04.5 ; Traumatismo do Nervo Facial
S04.6 ; Traumatismo do Nervo Acústico
S04.7 ; Traumatismo do Nervo Acessório
S04.8 ; Traumatismo de Outros Nervos Cranianos
S04.9 ; Traumatismo de Nervo Craniano Não Especificado
S05 ; Traumatismo do Olho e da Órbita Ocular
S05.0 ; Traumatismo da Conjuntiva e Abrasão da Córnea Sem Menção de Corpo Estranho
S05.1 ; Contusão do Globo Ocular e Dos Tecidos da Órbita
S05.2 ; Laceração e Ruptura Ocular Com Prolapso ou Perda de Tecido Intra
S05.3 ; Laceração Ocular Sem Prolapso ou Perda de Tecido Intra
S05.4 ; Ferimento Penetrante da Órbita Com ou Sem Corpo Estranho
S05.5 ; Ferimento Penetrante do Globo Ocular Com Corpo Estranho
S05.6 ; Ferimento Penetrante do Globo Ocular Sem Corpo Estranho
S05.7 ; Avulsão do Olho
S05.8 ; Outros Traumatismos do Olho e da Órbita
S05.9 ; Traumatismo do Olho e da Órbita, Não Especificado
S06 ; Traumatismo Intracraniano
S06.0 ; Concussão Cerebral
S06.1 ; Edema Cerebral Traumático
S06.2 ; Traumatismo Cerebral Difuso
S06.3 ; Traumatismo Cerebral Focal
S06.4 ; Hemorragia Epidural
S06.5 ; Hemorragia Subdural Devida a Traumatismo
S06.6 ; Hemorragia Subaracnóide Devida a Traumatismo
S06.7 ; Traumatismo Intracraniano Com Coma Prolongado
S06.8 ; Outros Traumatismos Intracranianos
S06.9 ; Traumatismo Intracraniano, Não Especificado
S07 ; Lesões Por Esmagamento da Cabeça
S07.0 ; Lesão Por Esmagamento da Face
S07.1 ; Lesão Por Esmagamento do Crânio
S07.8 ; Lesão Por Esmagamento de Outras Partes da Cabeça
S07.9 ; Lesão Por Esmagamento da Cabeça, Parte Não Especificada
S08 ; Amputação Traumática de Parte da Cabeça
S08.0 ; Avulsão do Couro Cabeludo
S08.1 ; Amputação Traumática da Orelha
S08.8 ; Amputação Traumática de Outras Partes da Cabeça
S08.9 ; Amputação Traumática de Parte Não Especificada da Cabeça
S09 ; Outros Traumatismos da Cabeça e os Não Especificados
S09.0 ; Traumatismo Dos Vasos Sangüíneos da Cabeça Não Classificados em Outra Parte
S09.1 ; Traumatismo Dos Músculos e Dos Tendões da Cabeça
S09.2 ; Ruptura Traumática do Tímpano
S09.7 ; Traumatismos Múltiplos da Cabeça
S09.8 ; Outros Traumatismos Especificados da Cabeça
S09.9 ; Traumatismo Não Especificado da Cabeça
S10 ; Traumatismo Superficial do Pescoço
S10.0 ; Contusão da Garganta
S10.1 ; Outros Traumatismos Superficiais da Garganta e os Não Especificados
S10.7 ; Traumatismos Superficiais Múltiplos do Pescoço
S10.8 ; Traumatismo Superficial de Outras Localizações do Pescoço
S10.9 ; Traumatismo Superficial do Pescoço, Parte Não Especificada
S11 ; Ferimento do Pescoço
S11.0 ; Ferimento Envolvendo a Laringe e a Traquéia
S11.1 ; Ferimento da Glândula Tireóide
S11.2 ; Ferimento Envolvendo a Faringe e o Esôfago Cervical
S11.7 ; Ferimentos Múltiplos do Pescoço
S11.8 ; Ferimentos de Outras Partes do Pescoço
S11.9 ; Ferimentos do Pescoço, Parte Não Especificada
S12 ; Fratura do Pescoço
S12.0 ; Fratura da Primeira Vértebra Cervical
S12.1 ; Fratura da Segunda Vértebra Cervical
S12.2 ; Fratura de Outras Vértebras Cervicais Especificadas
S12.7 ; Fraturas Múltiplas da Coluna Cervical
S12.8 ; Fratura de Outras Partes do Pescoço
S12.9 ; Fratura do Pescoço, Parte Não Especificada
S13 ; Luxação, Entorse ou Distensão Das Articulações e Dos Ligamentos do Pescoço
S13.0 ; Ruptura Traumática de Disco Intervertebral Cervical
S13.1 ; Luxação de Vértebra Cervical
S13.2 ; Luxação de Outras Partes do Pescoço e Das Não Especificadas
S13.3 ; Luxações Múltiplas do Pescoço
S13.4 ; Distensão e Entorse da Coluna Cervical
S13.5 ; Distensão e Entorse da Região Tireoidiana
S13.6 ; Distensão e Entorse de Articulações e de Ligamentos de Outras Localizações e Das Não Especificadas do Pescoço
S14 ; Traumatismo de Nervos e da Medula Espinhal ao Nível Cervical
S14.0 ; Concussão e Edema da Medula Cervical
S14.1 ; Outros Traumatismos e os Não Especificados da Medula Cervical
S14.2 ; Traumatismo da Raiz Nervosa da Coluna Cervical
S14.3 ; Traumatismo do Plexo Braquial
S14.4 ; Traumatismo Dos Nervos Periféricos do Pescoço
S14.5 ; Traumatismo Dos Nervos Simpáticos do Pescoço
S14.6 ; Traumatismo de Outros Nervos e Dos Não Especificados do Pescoço
S15 ; Traumatismo Dos Vasos Sangüíneos ao Nível do Pescoço
S15.0 ; Traumatismo da Artéria Carótida
S15.1 ; Traumatismo da Artéria Vertebral
S15.2 ; Traumatismo da Veia Jugular Externa
S15.3 ; Traumatismo da Veia Jugular Interna
S15.7 ; Traumatismo de Múltiplos Vasos Sangüíneos ao Nível do Pescoço
S15.8 ; Traumatismo de Outros Vasos Sangüíneos ao Nível do Pescoço
S15.9 ; Traumatismo de Vasos Sangüíneos Não Especificados ao Nível do Pescoço
S16 ; Traumatismo de Tendões e de Músculos do Pescoço
S17 ; Lesões Por Esmagamento do Pescoço
S17.0 ; Lesão Por Esmagamento da Laringe e da Traquéia
S17.8 ; Lesão Por Esmagamento de Outras Partes do Pescoço
S17.9 ; Lesão Por Esmagamento do Pescoço, Parte Não Especificada
S18 ; Amputação Traumática ao Nível do Pescoço
S19 ; Outros Traumatismos do Pescoço e os Não Especificados
S19.7 ; Traumatismos Múltiplos do Pescoço
S19.8 ; Outros Traumatismos Especificados do Pescoço
S19.9 ; Traumatismo Não Especificado do Pescoço
S20 ; Traumatismo Superficial do Tórax
S20.0 ; Contusão da Mama
S20.1 ; Outros Traumatismos Superficiais da Mama e os Não Especificados
S20.2 ; Contusão do Tórax
S20.3 ; Outros Traumatismos Superficiais da Parede Anterior do Tórax
S20.4 ; Outros Traumatismos Superficiais da Parede Posterior do Tórax
S20.7 ; Traumatismos Superficiais Múltiplos do Tórax
S20.8 ; Traumatismo Superficial de Outras Partes Especificadas do Tórax e Das Não Especificadas
S21 ; Ferimento do Tórax
S21.0 ; Ferimento da Mama
S21.1 ; Ferimento da Parede Anterior do Tórax
S21.2 ; Ferimento da Parede Posterior do Tórax
S21.7 ; Ferimentos Múltiplos da Parede Torácica
S21.8 ; Ferimento de Outras Partes do Tórax
S21.9 ; Ferimento do Tórax Parte Não Especificada
S22 ; Fratura de Costela(s), Esterno e Coluna Torácica
S22.0 ; Fratura de Vértebra Torácica
S22.1 ; Fraturas Múltiplas da Coluna Torácica
S22.2 ; Fratura do Esterno
S22.3 ; Fratura de Costela
S22.4 ; Fraturas Múltiplas de Costelas
S22.5 ; Tórax Fundido (oscilante)
S22.8 ; Fraturas de Outras Partes Dos Ossos do Tórax
S22.9 ; Fratura Dos Ossos do Tórax, Parte Não Especificada
S23 ; Luxação, Entorse e Distensão de Articulações e Dos Ligamentos do Tórax
S23.0 ; Ruptura Traumática de Disco Intervertebral Torácico
S23.1 ; Luxação de Vértebra Torácica
S23.2 ; Luxação de Outras Partes do Tórax e Das Não Especificadas
S23.3 ; Entorse e Distensão da Coluna Torácica
S23.4 ; Entorse e Distensão Das Costelas e do Esterno
S23.5 ; Entorse e Distensão de Outras Partes do Tórax e de Partes Não Especificadas
S24 ; Traumatismos de Nervos e da Medula Espinhal ao Nível do Tórax
S24.0 ; Concussão e Edema da Medula Espinhal Torácica
S24.1 ; Outros Traumatismos da Medula Espinhal Torácica e os Não Especificados
S24.2 ; Traumatismo da Raiz de Nervo da Coluna Torácica
S24.3 ; Traumatismo de Nervos Periféricos do Tórax
S24.4 ; Traumatismo de Nervos Simpáticos do Tórax
S24.5 ; Traumatismo de Outros Nervos do Tórax
S24.6 ; Traumatismo de Nervo do Tórax Não Especificado
S25 ; Traumatismo de Vasos Sangüíneos do Tórax
S25.0 ; Traumatismo da Aorta Torácica
S25.1 ; Traumatismo da Artéria Subclávia ou Inominada (braquiocefálica)
S25.2 ; Traumatismo da Veia Cava Superior
S25.3 ; Traumatismo da Veia Subclávia ou Inominada (braquiocefálica)
S25.4 ; Traumatismo de Vasos Sangüíneos Pulmonares
S25.5 ; Traumatismo de Vasos Sangüíneos Intercostais
S25.7 ; Traumatismo de Múltiplos Vasos Sangüíneos do Tórax
S25.8 ; Traumatismo de Outros Vasos Sangüíneos do Tórax
S25.9 ; Traumatismo de Vaso Sangüíneo Não Especificado do Tórax
S26 ; Traumatismo do Coração
S26.0 ; Traumatismo do Coração Com Hemopericárdio
S26.8 ; Outros Traumatismos do Coração
S26.9 ; Traumatismo do Coração Não Especificado
S27 ; Traumatismo de Outros Órgãos Intratorácicos e Dos Não Especificados
S27.0 ; Pneumotórax Traumático
S27.1 ; Hemotórax Traumático
S27.2 ; Hemopneumotórax Traumático
S27.3 ; Outros Traumatismos do Pulmão
S27.4 ; Traumatismo Dos Brônquios
S27.5 ; Traumatismo da Traquéia Torácica
S27.6 ; Traumatismo da Pleura
S27.7 ; Traumatismos Múltiplos de Órgãos Intratorácicos
S27.8 ; Traumatismo de Outros Órgãos Intratorácicos Especificados
S27.9 ; Traumatismo de Órgão Intratorácico Não Especificado
S28 ; Lesão Por Esmagamento do Tórax e Amputação Traumática de Parte do Tórax
S28.0 ; Esmagamento do Tórax
S28.1 ; Amputação Traumática de Parte do Tórax
S29 ; Outros Traumatismos do Tórax e os Não Especificados
S29.0 ; Traumatismo de Músculo e de Tendão ao Nível Tóracico
S29.7 ; Traumatismos Múltiplos do Tórax
S29.8 ; Outros Traumatismos Especificados do Tórax
S29.9 ; Traumatismo Não Especificado do Tórax
S30 ; Traumatismo Superficial do Abdome, do Dorso e da Pelve
S30.0 ; Contusão do Dorso e da Pelve
S30.1 ; Contusão da Parede Abdominal
S30.2 ; Contusão Dos Órgãos Genitais Externos
S30.7 ; Traumatismos Superficiais Múltiplos do Abdome, do Dorso e da Pelve
S30.8 ; Outros Traumatismos Superficiais do Abdome, do Dorso e da Pelve
S30.9 ; Traumatismo Superficial de Parte Não Especificada do Abdome, do Dorso e da Pelve
S31 ; Ferimento do Abdome, do Dorso e da Pelve
S31.0 ; Ferimento do Dorso e da Pelve
S31.1 ; Ferimento da Parede Abdominal
S31.2 ; Ferimento do Pênis
S31.3 ; Ferimento do Escroto e do Testículo
S31.4 ; Ferimento da Vagina e da Vulva
S31.5 ; Ferimento de Outros Órgãos Genitais Externos e os Não Especificados
S31.7 ; Ferimentos Múltiplos do Abdome, do Dorso e da Pelve
S31.8 ; Ferimento de Outras Partes e de Partes Não Especificadas do Abdome
S32 ; Fratura da Coluna Lombar e da Pelve
S32.0 ; Fratura de Vértebra Lombar
S32.1 ; Fratura do Sacro
S32.2 ; Fratura do Cóccix
S32.3 ; Fratura do Ílio
S32.4 ; Fratura do Acetábulo
S32.5 ; Fratura do Púbis
S32.7 ; Fraturas Múltiplas de Coluna Lombar e da Pelve
S32.8 ; Fratura de Outras Partes da Coluna Lombossacra e da Pelve e de Partes Não Especificadas
S33 ; Luxação, Entorse ou Distensão Das Articulações e Dos Ligamentos da Coluna Lombar e da Pelve
S33.0 ; Ruptura Traumática do Disco Intervertebral Lombar
S33.1 ; Luxação da Vértebra Lombar
S33.2 ; Luxação Das Articulações Sacroilíaca e Sacrococcígea
S33.3 ; Luxação de Outras Partes e Das Não Especificadas da Coluna Lombar e da Pelve
S33.4 ; Ruptura Traumática da Sínfise Púbica
S33.5 ; Entorse e Distensão da Coluna Lombar
S33.6 ; Entorse e Distensão da Articulação Sacroilíaca
S33.7 ; Entorse e Distensão de Outras Partes e Das Não Especificadas da Coluna Lombar e da Pelve
S34 ; Traumatismo Dos Nervos e da Medula Lombar ao Nível do Abdome, do Dorso e da Pelve
S34.0 ; Concussão e Edema da Medula Lombar
S34.1 ; Outro Traumatismo da Medula Lombar
S34.2 ; Traumatismo de Raiz Nervosa da Medula Lombar e Sacra
S34.3 ; Traumatismo de Cauda Eqüina
S34.4 ; Traumatismo do Plexo Lombossacro
S34.5 ; Traumatismo de Nervos Simpáticos Lombares, Sacros e Pélvicos
S34.6 ; Traumatismo Do(s) Nervo(s) Periférico(s) do Abdome, do Dorso e da Pelve
S34.8 ; Traumatismo de Outros Nervos e Dos Não Especificados ao Nível do Abdome, do Dorso e da Pelve
S35 ; Traumatismo de Vasos Sangüíneos ao Nível do Abdome, do Dorso e da Pelve
S35.0 ; Traumatismo da Aorta Abdominal
S35.1 ; Traumatismo da Veia Cava Inferior
S35.2 ; Traumatismo da Artéria Celíaca ou Mesentérica
S35.3 ; Traumatismo da Veia Porta ou Esplênica
S35.4 ; Traumatismo de Vaso Sangüíneo Renal
S35.5 ; Traumatismo de Vaso Sangüíneo Ilíaco
S35.7 ; Traumatismo de Vasos Múltiplos ao Nível do Abdome, do Dorso e da Pelve
S35.8 ; Traumatismo de Outros Vasos Sangüíneos ao Nível do Abdome, do Dorso e da Pelve
S35.9 ; Traumatismo de Vaso Sangüíneo Não Especificado ao Nível do Abdome, do Dorso e da Pelve
S36 ; Traumatismo de Órgãos Intra
S36.0 ; Traumatismo do Baço
S36.1 ; Traumatismo do Fígado ou da Vesícula Biliar
S36.2 ; Traumatismo do Pâncreas
S36.3 ; Traumatismo do Estômago
S36.4 ; Traumatismo do Intestino Delgado
S36.5 ; Traumatismo do Cólon
S36.6 ; Traumatismo do Reto
S36.7 ; Traumatismo de Múltiplos Órgãos Intra
S36.8 ; Traumatismo de Outros Órgãos Intra
S36.9 ; Traumatismo de Órgão Intra
S37 ; Traumatismo do Aparelho Urinário e de Órgãos Pélvicos
S37.0 ; Traumatismo do Rim
S37.1 ; Traumatismo do Ureter
S37.2 ; Traumatismo da Bexiga
S37.3 ; Traumatismo da Uretra
S37.4 ; Traumatismo do Ovário
S37.5 ; Traumatismo da Trompa de Falópio
S37.6 ; Traumatismo do Útero
S37.7 ; Traumatismo de Múltiplos Órgãos Pélvicos
S37.8 ; Traumatismo de Outros Órgãos Pélvicos
S37.9 ; Traumatismo de Órgão Pélvico Não Especificado
S38 ; Lesão Por Esmagamento e Amputação Traumática de Parte do Abdome, do Dorso e da Pelve
S38.0 ; Lesão Por Esmagamento Dos Órgãos Genitais Externos
S38.1 ; Lesão Por Esmagamento de Outras Partes e de Partes Não Especificadas do Abdome, do Dorso e da Pelve
S38.2 ; Amputação Traumática de Órgãos Genitais Externos
S38.3 ; Amputação Traumática de Outras Partes e de Partes Não Especificadas do Abdome, do Dorso e da Pelve
S39 ; Outros Traumatismos e os Não Especificados do Abdome, do Dorso e da Pelve
S39.0 ; Traumatismo de Músculo e de Tendão do Abdome, do Dorso e da Pelve
S39.6 ; Traumatismo de Órgão(s) Intra
S39.7 ; Outros Traumatismos Múltiplos do Abdome, do Dorso e da Pelve
S39.8 ; Outros Traumatismos Especificados do Abdome, do Dorso e da Pelve
S39.9 ; Traumatismo Não Especificado do Abdome, do Dorso e da Pelve
S40 ; Traumatismo Superficial do Ombro e do Braço
S40.0 ; Contusão do Ombro e do Braço
S40.7 ; Traumatismos Superficiais Múltiplos do Ombro e do Braço
S40.8 ; Outros Traumatismos Superficiais do Ombro e do Braço
S40.9 ; Traumatismo Superficial Não Especificado do Ombro e do Braço
S41 ; Ferimento do Ombro e do Braço
S41.0 ; Ferimento do Ombro
S41.1 ; Ferimento do Braço
S41.7 ; Ferimentos Múltiplos do Ombro e do Braço
S41.8 ; Ferimento de Outras Partes e de Partes Não Especificadas da Cintura Escapular
S42 ; Fratura do Ombro e do Braço
S42.0 ; Fratura da Clavícula
S42.1 ; Fratura da Omoplata (escápula)
S42.2 ; Fratura da Extremidade Superior do Úmero
S42.3 ; Fratura da Diáfise do Úmero
S42.4 ; Fratura da Extremidade Inferior do Úmero
S42.7 ; Fraturas Múltiplas da Clavícula, da Omoplata (escápula) e do Úmero
S42.8 ; Fratura de Outras Partes do Ombro e do Braço
S42.9 ; Fratura da Cintura Escapular, Parte Não Especificada
S43 ; Luxação, Entorse e Distensão Das Articulações e Dos Ligamentos da Cintura Escapular
S43.0 ; Luxação da Articulação do Ombro
S43.1 ; Luxação da Articulação Acromioclavicular
S43.2 ; Luxação da Articulação Esternoclavicular
S43.3 ; Luxação de Outras Partes e Das Não Especificadas da Cintura Escapular
S43.4 ; Entorse e Distensão de Articulação do Ombro
S43.5 ; Entorse e Distensão da Articulação Acromioclavicular
S43.6 ; Entorse e Distensão da Articulação Esternoclavicular
S43.7 ; Entorse e Distensão de Outras Partes e de Partes Não Especificadas da Cintura Escapular
S44 ; Traumatismo de Nervos ao Nível do Ombro e do Braço
S44.0 ; Traumatismo do Nervo Cubital (ulnar) ao Nível do Braço
S44.1 ; Traumatismo do Nervo Mediano ao Nível do Braço
S44.2 ; Traumatismo do Nervo Radial ao Nível do Braço
S44.3 ; Traumatismo do Nervo Axilar
S44.4 ; Traumatismo do Nervo Musculocutâneo
S44.5 ; Traumatismo do Nervo Sensitivo Cutâneo ao Nível do Ombro e do Braço
S44.7 ; Traumatismo de Múltiplos Nervos ao Nível do Ombro e do Braço
S44.8 ; Traumatismo de Outros Nervos ao Nível do Ombro e do Braço
S44.9 ; Traumatismo de Nervo Não Especificado ao Nível do Ombro e do Braço
S45 ; Traumatismo Dos Vasos Sangüíneos ao Nível do Ombro e do Braço
S45.0 ; Traumatismo da Artéria Axilar
S45.1 ; Traumatismo da Artéria Braquial
S45.2 ; Traumatismo da Veia Axilar ou Braquial
